u,v,key,osmid,highway,name,ref,oneway,reversed,length,geometry,maxspeed,lanes,width,bridge,service,tunnel,access
1369459418,8420816742,0,"[122594177, 906850735]","['path', 'footway']",Virginia River Walk,,False,"[False, True]",28.437094515705883,"LINESTRING (-52.6953037 47.5962022, -52.6952177 47.5962991, -52.6951846 47.5962848, -52.6950501 47.596212)",,,,,,,
1403788711,1403788715,0,126687348,unclassified,,CE 168,False,False,19.04293043972725,"LINESTRING (-1.4511525 47.596212, -1.451043 47.5962369, -1.4509056 47.5962481)",,,,,,,
1403788715,1403788711,0,126687348,unclassified,,CE 168,False,True,19.04293043972725,"LINESTRING (-1.4509056 47.5962481, -1.451043 47.5962369, -1.4511525 47.596212)",,,,,,,
1420261834,1420261844,0,248534072,track,,,False,True,80.1154460756987,"LINESTRING (11.4904046 47.5962041, 11.4905172 47.5962121, 11.4906361 47.5962205, 11.4909375 47.5962156, 11.4912089 47.5962287, 11.4914709 47.5962328)",,,,,,,
1420261844,1420261834,0,248534072,track,,,False,False,80.1154460756987,"LINESTRING (11.4914709 47.5962328, 11.4912089 47.5962287, 11.4909375 47.5962156, 11.4906361 47.5962205, 11.4905172 47.5962121, 11.4904046 47.5962041)",,,,,,,
1466742426,1466742598,0,287372027,service,,,False,False,10.725318528562157,"LINESTRING (12.1852764 47.5962017, 12.1852507 47.5962019, 12.185175 47.5962326, 12.1851461 47.5962342)",,,,,driveway,,
1466742598,1466742426,0,287372027,service,,,False,True,10.725318528562157,"LINESTRING (12.1851461 47.5962342, 12.185175 47.5962326, 12.1852507 47.5962019, 12.1852764 47.5962017)",,,,,driveway,,
1471784176,1471784213,0,133727686,track,Kaisertal,,False,True,9.500902837552944,"LINESTRING (12.2423883 47.5962199, 12.2422623 47.5962289)",,,,,,,
1471784213,1471784176,0,133727686,track,Kaisertal,,False,False,9.500902837552944,"LINESTRING (12.2422623 47.5962289, 12.2423883 47.5962199)",,,,,,,
1483961988,334943221,0,30363510,track,,,False,True,15.515367252968442,"LINESTRING (15.7930485 47.5962183, 15.7930067 47.5962682, 15.7928887 47.5962475)",,,,,,,
1487344257,3729133129,0,135421373,track,,,False,False,393.96665503156925,"LINESTRING (38.7837436 47.5962439, 38.7889974 47.5962151)",,,,,,,
1582928062,266090194,0,40503287,footway,,,False,False,0.16118716420677678,"LINESTRING (9.8754585 47.5962407, 9.8754599 47.5962418)",,,,,,,
1583878327,3230131109,0,1159444292,living_street,Badstubenweg,,False,True,0.6327692558085934,"LINESTRING (7.664961 47.59624, 7.6649595 47.5962344)",,,4,,,,
1603544823,2079132498,0,147150441,steps,,,False,True,26.61384385889259,"LINESTRING (10.554743 47.5962215, 10.5546189 47.596215, 10.5545368 47.5962302, 10.5543953 47.5962079)",,,,,,,
1603752943,4022084542,0,"[399467332, 147161237]","['path', 'track']",,,False,True,27.174178427036637,"LINESTRING (10.5509595 47.5962406, 10.5508812 47.5962409, 10.5507737 47.5962351, 10.5505975 47.5962322)",,,,,,,
