y,x,street_count,highway,ref,geometry
47.6063357,-122.3346862,4,traffic_signals,,POINT (-122.3346862 47.6063357)
47.6068008,-122.3335804,4,traffic_signals,,POINT (-122.3335804 47.6068008)
47.6072664,-122.332474,4,traffic_signals,,POINT (-122.332474 47.6072664)
47.6081976,-122.3302357,4,traffic_signals,,POINT (-122.3302357 47.6081976)
47.608661,-122.3291368,4,traffic_signals,,POINT (-122.3291368 47.608661)
47.6095874,-122.3269131,3,,,POINT (-122.3269131 47.6095874)
47.6105385,-122.3246427,3,,,POINT (-122.3246427 47.6105385)
47.6109828,-122.32357,4,,,POINT (-122.32357 47.6109828)
47.6114427,-122.3224689,4,,,POINT (-122.3224689 47.6114427)
47.6119106,-122.3213623,3,,,POINT (-122.3213623 47.6119106)
47.6185847,-122.3528569,4,traffic_signals,,POINT (-122.3528569 47.6185847)
47.6197487,-122.3528404,4,,,POINT (-122.3528404 47.6197487)
47.6025469,-122.3343002,4,traffic_signals,,POINT (-122.3343002 47.6025469)
47.6040006,-122.335618,4,traffic_signals,,POINT (-122.335618 47.6040006)
47.6046928,-122.3362467,4,traffic_signals,,POINT (-122.3362467 47.6046928)
47.606838,-122.3381925,3,traffic_signals,,POINT (-122.3381925 47.606838)
47.6098432,-122.3408914,4,traffic_signals,,POINT (-122.3408914 47.6098432)
47.6103112,-122.3413171,4,traffic_signals,,POINT (-122.3413171 47.6103112)
47.611069,-122.3426071,4,traffic_signals,,POINT (-122.3426071 47.611069)
47.6118448,-122.3439224,4,traffic_signals,,POINT (-122.3439224 47.6118448)
47.6141534,-122.3478438,4,,,POINT (-122.3478438 47.6141534)
47.6146899,-122.3487544,4,traffic_signals,,POINT (-122.3487544 47.6146899)
47.61579,-122.3506231,4,traffic_signals,,POINT (-122.3506231 47.61579)
47.6163523,-122.351568,4,,,POINT (-122.351568 47.6163523)
47.6169102,-122.3525163,4,traffic_signals,,POINT (-122.3525163 47.6169102)
47.6176898,-122.3538412,4,,,POINT (-122.3538412 47.6176898)
47.6178778,-122.3541698,3,,,POINT (-122.3541698 47.6178778)
47.6184434,-122.3551418,3,,,POINT (-122.3551418 47.6184434)
47.6185752,-122.3553532,4,traffic_signals,,POINT (-122.3553532 47.6185752)
47.5983027,-122.3315944,4,,,POINT (-122.3315944 47.5983027)
