OBJECTID,YEAR,RACE,TENURE,AGE,F0___30_,F30___50_,F50___80_,F80___120_,Above_120_,All_
907,2017,Asian,Renters,All,0.550676301649064,0.56,0.341532639545885,0.0146636432350718,0,0.216718888085482
908,2017,Asian,Renters,Children,0.245880861850444,0.836633663366337,0.390180878552972,0,0,0.17240023589542
909,2017,Asian,Renters,Seniors,0.440909090909091,0.5575,0.288164665523156,0.155948553054662,0,0.326707726763718
910,2017,Black,All,All,0.602893140457303,0.310152990264256,0.296727501573317,0.0170167508641319,0,0.229145369045185
911,2017,Black,All,Children,0.848776223776224,0.34971098265896,0,0,0,0.339490624125385
912,2017,Black,All,Seniors,0.603004291845494,0.140575079872204,0.269038701622971,0.108658743633277,0,0.192943278249218
913,2017,Black,Owners,All,1,0.146718146718147,0.387938793879388,0.036697247706422,0,0.0921910538286581
914,2017,Black,Owners,Children,1,0,0,0,0,0.0584567420109119
915,2017,Black,Owners,Seniors,0,0.243589743589744,0.459488272921109,0.108658743633277,0,0.185198054204309
916,2017,Black,Renters,All,0.595820470197103,0.326327856324035,0.24770198355104,0,0,0.298789420926826
917,2017,Black,Renters,Children,0.838166510757718,0.34971098265896,0,0,0,0.496943231441048
918,2017,Black,Renters,Seniors,0.603004291845494,0.106382978723404,0,0,0,0.206875
919,2017,Hispanic,All,All,0.680048661800487,0.408496732026144,0.0221473278767453,0,0.0263373362445415,0.16405186193831
920,2017,Hispanic,All,Children,0.851913477537438,0.355191256830601,0,0,0.199586349534643,0.231494316606598
921,2017,Hispanic,All,Seniors,0.172205438066465,1,0,0,0,0.0944503735325507
922,2017,Hispanic,Owners,All,0.748488512696493,0.655737704918033,0.120418848167539,0,0.0451990632318501,0.157079306642123
923,2017,Hispanic,Owners,Children,1,0,0,0,0.233939393939394,0.254575707154742
924,2017,Hispanic,Owners,Seniors,0.331395348837209,1,0,0,0,0.174901185770751
925,2017,Hispanic,Renters,All,0.657049979683056,0.303030303030303,0,0,0,0.16843424604705
926,2017,Hispanic,Renters,Children,0.817622950819672,0.429042904290429,0,0,0,0.21995841995842
927,2017,Hispanic,Renters,Seniors,0,0,0,0,0,0
928,2017,Multi,All,All,0.601288056206089,1,0,0.0351906158357771,0,0.12652972027972
929,2017,Multi,All,Children,1,1,0,0,0,0.178082191780822
930,2017,Multi,All,Seniors,0.525345622119816,0,0,0,0,0.246619794483505
931,2017,Multi,Owners,All,0,0,0,0.0726072607260726,0,0.0243677312165405
932,2017,Multi,Owners,Children,0,0,0,0,0,0
933,2017,Multi,Owners,Seniors,0,0,0,0,0,0
934,2017,Multi,Renters,All,0.659601798330122,1,0,0,0,0.193117555047527
935,2017,Multi,Renters,Children,1,1,0,0,0,0.475235849056604
936,2017,Multi,Renters,Seniors,0.635983263598326,0,0,0,0,0.398601398601399
937,2017,Native,All,All,1,0.343915343915344,0,0,0,0.733778625954199
938,2017,Native,All,Children,1,0,0,0,0,1
939,2017,Native,All,Seniors,0,0.343915343915344,0,0,0,0.302325581395349
940,2017,Native,Owners,All,1,0.343915343915344,0,0,0,0.368778280542986
941,2017,Native,Owners,Children,1,0,0,0,0,1
942,2017,Native,Owners,Seniors,0,0.343915343915344,0,0,0,0.302325581395349
943,2017,Native,Renters,All,1,0,0,0,0,1
944,2017,Native,Renters,Children,0,0,0,0,0,0
945,2017,Native,Renters,Seniors,0,0,0,0,0,0
946,2017,Other,All,All,0.389285714285714,0,0.266666666666667,0,0,0.101291638341264
947,2017,Other,All,Children,0,0,0,0,0,0
948,2017,Other,All,Seniors,0.389285714285714,0,0,0,0,0.389285714285714
949,2017,Other,Owners,All,0,0,1,0,0,0.0754716981132075
950,2017,Other,Owners,Children,0,0,0,0,0,0
951,2017,Other,Owners,Seniors,0,0,0,0,0,0
952,2017,Other,Renters,All,0.389285714285714,0,0,0,0,0.115834218916047
953,2017,Other,Renters,Children,0,0,0,0,0,0
954,2017,Other,Renters,Seniors,0.389285714285714,0,0,0,0,0.389285714285714
955,2017,Pacific Islander,All,All,1,0,0,0,0,0.403693931398417
956,2017,Pacific Islander,All,Children,0,0,0,0,0,0
957,2017,Pacific Islander,All,Seniors,0,0,0,0,0,0
958,2017,Pacific Islander,Owners,All,0,0,0,0,0,0
959,2017,Pacific Islander,Owners,Children,0,0,0,0,0,0
960,2017,Pacific Islander,Owners,Seniors,0,0,0,0,0,0
961,2017,Pacific Islander,Renters,All,1,0,0,0,0,0.768844221105528
962,2017,Pacific Islander,Renters,Children,0,0,0,0,0,0
963,2017,Pacific Islander,Renters,Seniors,0,0,0,0,0,0
964,2017,White,All,All,0.731038396065822,0.46178600160901,0.175634442211803,0.0411945980241095,0.00260675165943049,0.148251378437424
965,2017,White,All,Children,0.884303112313938,0.543361884368308,0.124861878453039,0.0146005509641873,0.00232542464276085,0.0944015902854303
966,2017,White,All,Seniors,0.597154993578979,0.344782034346103,0.252362707535121,0.0534971270061423,0,0.197767707907737
967,2017,White,Owners,All,0.767241379310345,0.471239797901283,0.224628130295613,0.0817180510797941,0.00407073920310562,0.0939500185212305
968,2017,White,Owners,Children,1,0.770609318996416,0.180351906158358,0.0262831638978428,0.00292051130110895,0.0546751444340445
969,2017,White,Owners,Seniors,0.65188396132044,0.331632653061224,0.228781591852131,0.0661764705882353,0,0.137219944137398
970,2017,White,Renters,All,0.72188255367553,0.457816579634465,0.143613093773074,0.00509832483612527,0,0.203249195117482
971,2017,White,Renters,Children,0.847048300536673,0.446564885496183,0.0790641387656313,0,0,0.174859458752778
972,2017,White,Renters,Seniors,0.574115665356541,0.355676328502415,0.301819620253165,0,0,0.29868264659271
973,2018,All,All,All,0.713401530129803,0.500958466453674,0.151382203859096,0.0300282286520819,0.00451806266495402,0.172786426354272
974,2018,All,All,Children,0.88420471281296,0.396024464831804,0.210165035782094,0.0401800787844682,0.00637191157347204,0.129428789517206
975,2018,All,All,Seniors,0.533569850726287,0.424365045200172,0.156281335052285,0.0487517411336119,0.00344256580094126,0.214514334381911
976,2018,All,Owners,All,0.743553165807089,0.446125536700061,0.214878125989237,0.0625226203402099,0.00750586561634092,0.110095571141886
977,2018,All,Owners,Children,1,0.655509065550907,0.348529411764706,0.0769894328229459,0.00796955305445319,0.0721304780622272
978,2018,All,Owners,Seniors,0.682685977616853,0.354844290657439,0.169678217821782,0.0445774121166791,0.0043545364347922,0.159790953658311
979,2018,All,Renters,All,0.706058419519495,0.525885305325774,0.119195096119901,0.00925497454881999,0,0.223414383671548
980,2018,All,Renters,Children,0.856687172476646,0.323149236192714,0.15144580819638,0,0,0.224129930394432
981,2018,All,Renters,Seniors,0.468117896359083,0.493230505569837,0.137878272696362,0.0592900302114804,0,0.294589381788651
982,2018,Asian,All,All,0.713851415542466,0.476290280324862,0.122366182436854,0.0332014450369861,0.00892659861240002,0.211438543608456
983,2018,Asian,All,Children,0.735249621785174,0.246200607902736,0.144602851323829,0.0679886685552408,0,0.116828721017203
984,2018,Asian,All,Seniors,0.352721451440768,0.426323319027182,0.0688960515713135,0,0.0367100371747212,0.220237563633116
985,2018,Asian,Owners,All,0.58622754491018,0.419715884631941,0.140798952193844,0.0620379299260688,0.0156334649020974,0.120412496208675
986,2018,Asian,Owners,Children,0,1,0.334117647058824,0.0943643512450852,0,0.0744949494949495
987,2018,Asian,Owners,Seniors,0.525844930417495,0.486398258977149,0.117043121149897,0,0.0381826969550507,0.235899605188945
988,2018,Asian,Renters,All,0.737917795844625,0.56425702811245,0.110093743187268,0,0,0.288258309869455
989,2018,Asian,Renters,Children,0.735249621785174,0,0,0,0,0.178348623853211
990,2018,Asian,Renters,Seniors,0.289204959883297,0,0,0,0,0.193179049939099
991,2018,Black,All,All,0.654274509803922,0.477619799894681,0.218527315914489,0.029840848806366,0,0.345556469862168
992,2018,Black,All,Children,0.926104417670683,0,0.762886597938144,0,0,0.409277293695541
993,2018,Black,All,Seniors,0.746619217081851,0.826728826728827,0.104642593957259,0.13215859030837,0,0.449233716475096
994,2018,Black,Owners,All,1,0.773981603153745,0.136147038801906,0.058252427184466,0,0.229159015791407
995,2018,Black,Owners,Children,0,0,0,0,0,0
996,2018,Black,Owners,Seniors,1,1,0.184655396618986,0.146818923327896,0,0.363347457627119
997,2018,Black,Renters,All,0.633033633033633,0.403358577543629,0.300405953991881,0,0,0.390841548792685
998,2018,Black,Renters,Children,0.926104417670683,0,1,0,0,0.561138439915671
999,2018,Black,Renters,Seniors,0.68270944741533,0.800179211469534,0,0,0,0.497899159663866
1000,2018,Hispanic,All,All,0.888888888888889,0.473863636363636,0.159461089885381,0.0263419483101392,0,0.208032254686355
1001,2018,Hispanic,All,Children,1,0.173719376391982,0.121712997746056,0,0,0.0893582453290008
1002,2018,Hispanic,All,Seniors,0.678966789667897,0.888111888111888,0,0,0,0.223127865511971
1003,2018,Hispanic,Owners,All,1,0,0.339583333333333,0,0,0.135821469796075
1004,2018,Hispanic,Owners,Children,1,0,0.683544303797468,0,0,0.183796856106409
1005,2018,Hispanic,Owners,Seniors,1,0,0,0,0,0.0627413127413127
1006,2018,Hispanic,Renters,All,0.869158878504673,0.482638888888889,0.11637179167705,0.0354633656741385,0,0.235035971223022
1007,2018,Hispanic,Renters,Children,1,0.173719376391982,0,0,0,0.0415902140672783
1008,2018,Hispanic,Renters,Seniors,0.577669902912621,1,0,0,0,0.402373247033441
1009,2018,Multi,All,All,0.618501012829169,0.581954084356647,0.08,0,0,0.193237938457642
1010,2018,Multi,All,Children,0.674167416741674,0.478070175438596,0,0,0,0.314267143321417
1011,2018,Multi,All,Seniors,0.186915887850467,1,0,0,0,0.0980507974010632
1012,2018,Multi,Owners,All,1,0.587859424920128,0,0,0,0.170753696357735
1013,2018,Multi,Owners,Children,1,0.376811594202899,0,0,0,0.297983083929733
1014,2018,Multi,Owners,Seniors,1,1,0,0,0,0.180238870792617
1015,2018,Multi,Renters,All,0.486130059117781,0.580769230769231,0.0848010437051533,0,0,0.205405932864949
1016,2018,Multi,Renters,Children,0.504787961696306,0.562248995983936,0,0,0,0.330519480519481
1017,2018,Multi,Renters,Seniors,0,0,0,0,0,0
1018,2018,Native,All,All,0.497797356828194,0.397212543554007,0.435294117647059,0,0,0.240233236151603
1019,2018,Native,All,Children,0,0,0,0,0,0
1020,2018,Native,All,Seniors,0.497797356828194,0,0,0,0,0.124449339207048
1021,2018,Native,Owners,All,0.497797356828194,0,1,0,0,0.503378378378378
1022,2018,Native,Owners,Children,0,0,0,0,0,0
1023,2018,Native,Owners,Seniors,0.497797356828194,0,0,0,0,0.497797356828194
1024,2018,Native,Renters,All,0,0.397212543554007,0,0,0,0.101513802315227
1025,2018,Native,Renters,Children,0,0,0,0,0,0
1026,2018,Native,Renters,Seniors,0,0,0,0,0,0
1027,2018,Other,All,All,0,0,0,0,0,0
1028,2018,Other,All,Children,0,0,0,0,0,0
1029,2018,Other,All,Seniors,0,0,0,0,0,0
1030,2018,Other,Owners,All,0,0,0,0,0,0
1031,2018,Other,Owners,Children,0,0,0,0,0,0
1032,2018,Other,Owners,Seniors,0,0,0,0,0,0
1033,2018,Other,Renters,All,0,0,0,0,0,0
1034,2018,Other,Renters,Children,0,0,0,0,0,0
1035,2018,Other,Renters,Seniors,0,0,0,0,0,0
1036,2018,Pacific Islander,All,All,0,0,0,0,0,0
1037,2018,Pacific Islander,All,Children,0,0,0,0,0,0
1038,2018,Pacific Islander,All,Seniors,0,0,0,0,0,0
1039,2018,Pacific Islander,Owners,All,0,0,0,0,0,0
1040,2018,Pacific Islander,Owners,Children,0,0,0,0,0,0
1041,2018,Pacific Islander,Owners,Seniors,0,0,0,0,0,0
1042,2018,Pacific Islander,Renters,All,0,0,0,0,0,0
1043,2018,Pacific Islander,Renters,Children,0,0,0,0,0,0
1044,2018,Pacific Islander,Renters,Seniors,0,0,0,0,0,0
1045,2018,White,All,All,0.724270545940975,0.506450796863142,0.152238292011019,0.0333986213211915,0.00425617988891792,0.145541005067385
1046,2018,White,All,Children,1,0.680504077094144,0.194210230466554,0.0497035228461807,0.00790399070877827,0.0992862517957722
1047,2018,White,All,Seniors,0.584699453551913,0.336859760030964,0.199722162855311,0.0554626956389606,0,0.194948499429919
1048,2018,White,Owners,All,0.731416549789621,0.411773965055879,0.224514200298954,0.0733987844787284,0.00683180237827893,0.0959147264470554
1049,2018,White,Owners,Children,1,0.724941724941725,0.328225806451613,0.095413458319384,0.00949796472184532,0.0571161048689139
1050,2018,White,Owners,Seniors,0.70679012345679,0.242224057252959,0.185483870967742,0.0456741326306544,0,0.131140897755611
1051,2018,White,Renters,All,0.722033154023493,0.551297345660602,0.114075243357011,0.00879211175020542,0,0.191551037115624
1052,2018,White,Renters,Children,1,0.659782608695652,0.122519413287317,0,0,0.20068317677199
1053,2018,White,Renters,Seniors,0.525863493637415,0.420349684312773,0.221948549534756,0.0774543660582141,0,0.29902883001983
1054,2019,All,All,All,0.577318685166543,0.462651480034435,0.15247204444757,0.0310289557127426,0.00402577448516538,0.143409263411357
1055,2019,All,All,Children,0.582398783501236,0.321086261980831,0.184035476718404,0.0344360611336816,0.00759755108062256,0.0890703767831696
1056,2019,All,All,Seniors,0.431736702909198,0.33320177602368,0.214720194647202,0.0609705082618699,0,0.191878332213662
1057,2019,All,Owners,All,0.722063364977696,0.42209800190295,0.209353594205181,0.0717065576960498,0.00681699003670687,0.0980865402615463
1058,2019,All,Owners,Children,0.832880434782609,0.722488038277512,0.313518696069032,0.0775599128540305,0.00928178787059566,0.0610510604492164
1059,2019,All,Owners,Seniors,0.702846116739026,0.290586145648313,0.198428593437067,0.0627808797494212,0,0.155339087546239
1060,2019,All,Renters,All,0.543070552894374,0.478296778929981,0.12835492055014,0.00833288095108843,0,0.178299201737546
1061,2019,All,Renters,Children,0.541657458563536,0.174803836094159,0.112523166534286,0,0,0.138130163547462
1062,2019,All,Renters,Seniors,0.344393503768747,0.38645948945616,0.246071746219982,0.0549797205948626,0,0.242256298663765
1063,2019,Asian,All,All,0.520320994046078,0.350702576112412,0.0349839445665033,0,0.00683743579481022,0.103416605437179
1064,2019,Asian,All,Children,0.790633608815427,0,0.345575959933222,0,0.0182317192707312,0.112426035502959
1065,2019,Asian,All,Seniors,0.158546655656482,0.0569219957835559,0,0,0,0.060547414984794
1066,2019,Asian,Owners,All,0.817699115044248,0.0927193528313628,0.0565927654609102,0,0.0122402674946262,0.0764302059496568
