OBJECTID,YEAR,AMI,RACE,TENURE,AGE,TOTAL,BURDEN30,BURDEN3050,BURDEN50,NODATA,NOBURDEN,PERCENT30,PERCENT3050,PERCENT50,PERCENT_NODATA,PERCENT_NOBURDEN,INCOME,COSTS
2190,2010,80 - 120%,All,All,Children,9468,3420,2947,473,0,6048,0.361216730038023,0.311258977608788,0.0499577524292353,0,0.638783269961977,83859.5912547529,1839.131
2191,2010,80 - 120%,All,Owners,All,27249,12183,10009,2174,0,15066,0.447098976109215,0.367316231788323,0.0797827443208925,0,0.552901023890785,72784.3706558039,1741.228
2192,2010,80 - 120%,All,Owners,Seniors,5512,1618,989,629,0,3894,0.293541364296081,0.179426705370102,0.11411465892598,0,0.706458635703919,66601.6465892598,1431.845
2193,2010,80 - 120%,All,Owners,Children,6353,2912,2439,473,0,3441,0.458366126239572,0.38391311191563,0.0744530143239414,0,0.541633873760428,85323.5809853612,2157.457
2194,2010,80 - 120%,All,Renters,All,23542,3399,3077,322,0,20143,0.144380256562739,0.130702574122844,0.0136776824398947,0,0.855619743437261,66600.9937133634,1193.15
2195,2010,80 - 120%,All,Renters,Seniors,1986,550,307,243,0,1436,0.276938569989929,0.154582074521652,0.122356495468278,0,0.723061430010071,64752.8942598187,1254.661
2196,2010,80 - 120%,All,Renters,Children,3115,508,508,0,0,2607,0.163081861958266,0.163081861958266,0,0,0.836918138041734,80873.8041733547,1353.584
2197,2010,80 - 120%,White,All,All,39434,12708,10496,2212,0,26726,0.322259978698585,0.266166252472486,0.0560937262260993,0,0.677740021301415,69282.5525181316,1533.094
2198,2010,80 - 120%,White,All,Seniors,5960,1683,880,803,0,4277,0.28238255033557,0.147651006711409,0.134731543624161,0,0.71761744966443,65547.8926174497,1383.832
2199,2010,80 - 120%,White,All,Children,6997,2795,2322,473,0,4202,0.39945691010433,0.331856509932828,0.0676004001715021,0,0.60054308989567,83670.958982421,2075.965
2200,2010,80 - 120%,White,Owners,All,21585,9906,8016,1890,0,11679,0.458929812369701,0.371369006254343,0.0875608061153579,0,0.541070187630299,72542.4674542506,1804.653
2201,2010,80 - 120%,White,Owners,Seniors,4507,1329,769,560,0,3178,0.294874639449745,0.170623474595074,0.124251164854671,0,0.705125360550255,66352.5804304415,1480.979
2202,2010,80 - 120%,White,Owners,Children,5076,2287,1814,473,0,2789,0.450551615445232,0.357368006304177,0.0931836091410559,0,0.549448384554768,85648.8376674547,2250.429
2203,2010,80 - 120%,White,Renters,All,17849,2802,2480,322,0,15047,0.156983584514539,0.138943358171326,0.0180402263432125,0,0.843016415485461,65340.3000728332,1219.654
2204,2010,80 - 120%,White,Renters,Seniors,1453,354,111,243,0,1099,0.243633860977288,0.0763936682725396,0.167240192704749,0,0.756366139022712,63051.8651066758,1176.818
2205,2010,80 - 120%,White,Renters,Children,1921,508,508,0,0,1413,0.264445601249349,0.264445601249349,0,0,0.735554398750651,78444.6642373764,1537.508
2206,2010,80 - 120%,Black,All,All,2259,102,102,0,0,2157,0.0451527224435591,0.0451527224435591,0,0,0.954847277556441,67007.9238601151,1020.477
2207,2010,80 - 120%,Black,All,Seniors,422,102,102,0,0,320,0.241706161137441,0.241706161137441,0,0,0.758293838862559,66129.6208530806,1313.654
2208,2010,80 - 120%,Black,All,Children,503,0,0,0,0,503,0,0,0,0,1,72769.1848906561,344.006
2209,2010,80 - 120%,Black,Owners,All,622,102,102,0,0,520,0.163987138263666,0.163987138263666,0,0,0.836012861736334,66915.7556270096,1203.177
2210,2010,80 - 120%,Black,Owners,Seniors,343,102,102,0,0,241,0.297376093294461,0.297376093294461,0,0,0.702623906705539,68693.0029154519,1323.708
2211,2010,80 - 120%,Black,Owners,Children,103,0,0,0,0,103,0,0,0,0,1,79300,925
2212,2010,80 - 120%,Black,Renters,All,1637,0,0,0,0,1637,0,0,0,0,1,67042.944410507,986.279
2213,2010,80 - 120%,Black,Renters,Seniors,79,0,0,0,0,79,0,0,0,0,1,55000,1270
2214,2010,80 - 120%,Black,Renters,Children,400,0,0,0,0,400,0,0,0,0,1,71087.5,765.6
2215,2010,80 - 120%,Native,All,All,80,0,0,0,0,80,0,0,0,0,1,77000,1478
2216,2010,80 - 120%,Native,All,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2217,2010,80 - 120%,Native,All,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2218,2010,80 - 120%,Native,Owners,All,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2219,2010,80 - 120%,Native,Owners,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2220,2010,80 - 120%,Native,Owners,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2221,2010,80 - 120%,Native,Renters,All,80,0,0,0,0,80,0,0,0,0,1,77000,1478
2222,2010,80 - 120%,Native,Renters,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2223,2010,80 - 120%,Native,Renters,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
2224,2010,80 - 120%,Asian,All,All,4881,1394,1192,202,0,3487,0.28559721368572,0.244212251587789,0.0413849620979308,0,0.71440278631428,73985.8500307314,1203.791
2225,2010,80 - 120%,Asian,All,Seniors,862,265,196,69,0,597,0.307424593967517,0.22737819025522,0.080046403712297,0,0.692575406032483,69946.1531322506,1097.437
2226,2010,80 - 120%,Asian,All,Children,1047,331,331,0,0,716,0.316141356255969,0.316141356255969,0,0,0.683858643744031,82038.5864374403,1902.415
2227,2010,80 - 120%,Asian,Owners,All,3159,1110,908,202,0,2049,0.351377018043685,0.287432731877176,0.0639442861665084,0,0.648622981956315,74006.4723013612,1319.875
2228,2010,80 - 120%,Asian,Owners,Seniors,544,69,0,69,0,475,0.126838235294118,0,0.126838235294118,0,0.873161764705882,68778.4852941177,921.344
2229,2010,80 - 120%,Asian,Owners,Children,528,331,331,0,0,197,0.626893939393939,0.626893939393939,0,0,0.373106060606061,78195.2651515152,1875.585
2230,2010,80 - 120%,Asian,Renters,All,1722,284,284,0,0,1438,0.164924506387921,0.164924506387921,0,0,0.835075493612079,73948.018583043,1074.122
