osmid,y,x,street_count,highway,ref,railway,geometry
9813032913,47.6002748,-122.3241823,3,,,,POINT (-122.3241823 47.6002748)
9813067279,47.5967522,-122.3288805,3,,,,POINT (-122.3288805 47.5967522)
9813067280,47.5966329,-122.3287512,3,,,,POINT (-122.3287512 47.5966329)
9813067281,47.5966335,-122.3288833,3,,,,POINT (-122.3288833 47.5966335)
9813067283,47.5966359,-122.3278037,3,,,,POINT (-122.3278037 47.5966359)
9813067284,47.5966346,-122.3279959,3,,,,POINT (-122.3279959 47.5966346)
9813067286,47.5966327,-122.328255,3,,,,POINT (-122.328255 47.5966327)
9813067287,47.5967516,-122.3287528,3,,,,POINT (-122.3287528 47.5967516)
9813067289,47.5967341,-122.328496,3,,,,POINT (-122.328496 47.5967341)
9813067290,47.5966311,-122.3284938,3,,,,POINT (-122.3284938 47.5966311)
9813067291,47.5966952,-122.3279961,3,,,,POINT (-122.3279961 47.5966952)
9813799994,47.6104523,-122.3361642,1,,,,POINT (-122.3361642 47.6104523)
9813799995,47.6094493,-122.3352258,1,,,,POINT (-122.3352258 47.6094493)
9818708364,47.6094065,-122.3309822,3,,,,POINT (-122.3309822 47.6094065)
9819979792,47.6164279,-122.3184206,3,,,,POINT (-122.3184206 47.6164279)
9819979795,47.6169595,-122.3196637,3,,,,POINT (-122.3196637 47.6169595)
9820098729,47.6175981,-122.3215139,3,,,,POINT (-122.3215139 47.6175981)
9820098732,47.6176077,-122.3217207,3,,,,POINT (-122.3217207 47.6176077)
9820098733,47.6175118,-122.3217194,3,,,,POINT (-122.3217194 47.6175118)
9820098735,47.617552,-122.3209945,3,,,,POINT (-122.3209945 47.617552)
9820098743,47.6175647,-122.321514,3,,,,POINT (-122.321514 47.6175647)
9820098744,47.6174957,-122.321371,4,,,,POINT (-122.321371 47.6174957)
9820098746,47.6176379,-122.3213718,3,,,,POINT (-122.3213718 47.6176379)
9820098749,47.6174889,-122.321371,1,,,,POINT (-122.321371 47.6174889)
9824082738,47.6099467,-122.3213482,1,,,,POINT (-122.3213482 47.6099467)
9824082740,47.6095798,-122.3212122,1,,,,POINT (-122.3212122 47.6095798)
9824082747,47.6098481,-122.3211419,3,,,,POINT (-122.3211419 47.6098481)
9824082748,47.6098476,-122.320934,4,,,,POINT (-122.320934 47.6098476)
9824082752,47.6098602,-122.3211528,3,,,,POINT (-122.3211528 47.6098602)
9824082755,47.6100022,-122.3209338,3,,,,POINT (-122.3209338 47.6100022)
9824133959,47.6090177,-122.3266204,3,,,,POINT (-122.3266204 47.6090177)
9824133969,47.6089651,-122.3267904,1,,,,POINT (-122.3267904 47.6089651)
9824176780,47.610006,-122.3300339,3,,,,POINT (-122.3300339 47.610006)
9824176785,47.610071,-122.3298749,3,,,,POINT (-122.3298749 47.610071)
9824176787,47.6100903,-122.3297802,1,,,,POINT (-122.3297802 47.6100903)
9824176789,47.6100493,-122.3300251,3,,,,POINT (-122.3300251 47.6100493)
9824176790,47.6100979,-122.3299025,3,,,,POINT (-122.3299025 47.6100979)
9824176793,47.6103665,-122.329627,3,,,,POINT (-122.329627 47.6103665)
9824176794,47.6104446,-122.3293292,4,,,,POINT (-122.3293292 47.6104446)
9824176813,47.6104271,-122.3294899,4,,,,POINT (-122.3294899 47.6104271)
9824176816,47.6104044,-122.3295596,4,,,,POINT (-122.3295596 47.6104044)
9825393894,47.6099357,-122.3305093,4,,,,POINT (-122.3305093 47.6099357)
9825393897,47.6098983,-122.3307263,3,,,,POINT (-122.3307263 47.6098983)
9825393898,47.6101063,-122.3303151,3,,,,POINT (-122.3303151 47.6101063)
9825393899,47.6101617,-122.3302903,3,,,,POINT (-122.3302903 47.6101617)
9825393900,47.6102165,-122.3303635,3,,,,POINT (-122.3303635 47.6102165)
9825393902,47.6101291,-122.3301082,3,,,,POINT (-122.3301082 47.6101291)
9825393906,47.6101413,-122.3299086,3,,,,POINT (-122.3299086 47.6101413)
9825393912,47.6101479,-122.3300067,4,,,,POINT (-122.3300067 47.6101479)
9828425340,47.6100934,-122.3305524,3,,,,POINT (-122.3305524 47.6100934)
9837260012,47.6185499,-122.3577067,3,,,,POINT (-122.3577067 47.6185499)
9837260014,47.6185365,-122.3579175,3,,,,POINT (-122.3579175 47.6185365)
9837297454,47.6172516,-122.3573,5,crossing,,,POINT (-122.3573 47.6172516)
9837297455,47.6173647,-122.3571224,3,,,,POINT (-122.3571224 47.6173647)
9837297464,47.6172815,-122.3572529,3,,,,POINT (-122.3572529 47.6172815)
9837297469,47.6174182,-122.3575786,1,,,,POINT (-122.3575786 47.6174182)
9837297471,47.6174437,-122.3575137,1,,,,POINT (-122.3575137 47.6174437)
9898965541,47.612011,-122.3337211,1,,,,POINT (-122.3337211 47.612011)
9898965542,47.6120502,-122.3336158,1,,,,POINT (-122.3336158 47.6120502)
9936619085,47.6149269,-122.3363931,1,,,,POINT (-122.3363931 47.6149269)
9948631581,47.6126791,-122.3208128,1,,,,POINT (-122.3208128 47.6126791)
9948631583,47.6126619,-122.3209355,1,,,,POINT (-122.3209355 47.6126619)
9965055637,47.618426,-122.325828,3,,,,POINT (-122.325828 47.618426)
9965055643,47.6178118,-122.3260771,3,,,,POINT (-122.3260771 47.6178118)
9965055655,47.6185635,-122.3241197,4,,,,POINT (-122.3241197 47.6185635)
9965055656,47.619517,-122.3241259,3,,,,POINT (-122.3241259 47.619517)
9965055672,47.6185623,-122.3239202,3,,,,POINT (-122.3239202 47.6185623)
9965055676,47.6185979,-122.3235037,3,,,,POINT (-122.3235037 47.6185979)
9965055678,47.6178116,-122.3252106,3,,,,POINT (-122.3252106 47.6178116)
9965055679,47.6178213,-122.3235512,3,,,,POINT (-122.3235512 47.6178213)
9965055680,47.6184105,-122.3235604,3,,,,POINT (-122.3235604 47.6184105)
9965055695,47.6178003,-122.3263706,3,,,,POINT (-122.3263706 47.6178003)
9965055696,47.6177991,-122.326668,3,,,,POINT (-122.326668 47.6177991)
